ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 GifImagePlugin.py:38(_accept)
        3    0.000    0.000    0.000    0.000 __init__.py:1119(__init__)
       20    0.000    0.000    0.000    0.000 TiffImagePlugin.py:236(_accept)
        1    0.000    0.000    0.000    0.000 <string>:1(_TagInfo)
       10    0.000    0.000    0.000    0.000 {all}
        2    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2684(Menu)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:253(IFDRational)
        1    0.000    0.000    0.000    0.000 threading.py:647(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1585(Wm)
        1    0.000    0.000    0.000    0.000 warnings.py:67(filterwarnings)
        2    0.000    0.000    0.000    0.000 {built-in method getvar}
        2    0.000    0.000    0.000    0.000 threading.py:147(acquire)
        2    0.000    0.000    0.000    0.000 Tkinter.py:1037(_bind)
       27    0.000    0.000    0.000    0.000 decimal.py:3817(<genexpr>)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        4    0.000    0.000    0.000    0.000 os.py:421(__setitem__)
       28    0.000    0.000    0.000    0.000 TiffImagePlugin.py:327(_delegate)
        5    0.000    0.000    0.000    0.000 {built-in method createcommand}
        5    0.000    0.000    0.000    0.000 fractions.py:280(_operator_fallbacks)
       17    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       11    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
       17    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:648(Handler)
        2    0.000    0.000    0.000    0.000 threading.py:187(release)
        1    0.000    0.000    0.000    0.000 {_ctypes.LoadLibrary}
        4    0.000    0.000    0.000    0.000 os.py:444(__contains__)
       20    0.000    0.000    0.000    0.000 PpmImagePlugin.py:52(_accept)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:504(_accept)
        3    0.000    0.000    0.000    0.000 genericpath.py:23(exists)
       20    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 weakref.py:47(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1307(_configure)
       39    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2593(Listbox)
        1    0.000    0.000    0.000    0.000 threading.py:1081(__init__)
       25    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1501(AppendingTiffWriter)
        1    0.000    0.000    0.000    0.000 {_locale._getdefaultlocale}
        1    0.000    0.000    0.000    0.000 Tkinter.py:1747(wm_protocol)
        4    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
